Id,SalePrice
1461,133000
1462,190000
1463,215000
1464,230000
1465,180000
1466,178000
1467,170000
1468,192000
1469,148000
1470,124000
1471,181000
1472,83000
1473,106000
1474,155000
1475,155000
1476,320000
1477,280000
1478,385000
1479,275000
1480,160000
1481,325000
1482,202500
1483,320000
1484,192000
1485,173000
1486,189000
1487,250000
1488,214000
1489,185000
1490,250000
1491,213000
1492,140000
1493,187000
1494,130000
1495,260000
1496,207500
1497,174000
1498,160000
1499,176000
1500,155000
1501,168500
1502,165000
1503,67000
1504,210000
1505,208900
1506,205000
1507,154000
1508,170000
1509,157000
1510,158000
1511,140000
1512,159000
1513,145000
1514,150000
1515,130000
1516,139000
1517,148000
1518,137000
1519,148000
1520,144000
1521,120000
1522,190000
1523,119000
1524,100000
1525,139000
1526,145000
1527,137500
1528,105000
1529,155000
1530,170000
1531,140000
1532,105000
1533,130000
1534,135000
1535,140000
1536,113000
1537,110000
1538,125000
1539,137000
1540,80000
1541,139000
1542,140000
1543,128000
1544,100000
1545,120000
1546,145000
1547,155000
1548,100000
1549,160000
1550,145000
1551,110000
1552,115000
1553,140000
1554,140000
1555,155000
1556,160000
1557,140000
1558,130000
1559,85000
1560,140000
1561,82000
1562,130000
1563,132500
1564,144000
1565,130000
1566,190000
1567,112000
1568,280000
1569,130000
1570,125000
1571,115000
1572,108000
1573,215200
1574,140000
1575,180000
1576,145000
1577,214000
1578,157000
1579,147000
1580,179900
1581,127000
1582,133000
1583,260000
1584,194500
1585,131500
1586,160000
1587,150000
1588,160000
1589,135000
1590,125000
1591,135000
1592,115000
1593,115000
1594,105000
1595,160000
1596,140000
1597,139000
1598,165000
1599,124000
1600,124000
1601,144000
1602,110000
1603,81000
1604,275000
1605,240000
1606,143000
1607,171000
1608,250000
1609,160000
1610,180000
1611,115000
1612,215000
1613,162000
1614,134000
1615,97000
1616,127000
1617,88000
1618,160000
1619,110000
1620,76500
1621,160000
1622,130000
1623,147000
1624,143000
1625,124000
1626,127500
1627,162000
1628,225000
1629,168500
1630,275000
1631,275000
1632,275000
1633,173000
1634,192000
1635,189000
1636,174000
1637,160000
1638,110000
1639,158000
1640,180000
1641,179900
1642,266000
1643,320000
1644,176000
1645,155000
1646,157000
1647,235000
1648,158000
1649,158000
1650,132000
1651,139000
1652,113000
1653,88000
1654,155000
1655,155000
1656,155000
1657,147000
1658,155000
1659,147000
1660,148000
1661,325000
1662,266000
1663,335000
1664,325000
1665,325000
1666,315000
1667,215000
1668,200000
1669,325000
1670,325000
1671,230000
1672,325000
1673,230000
1674,325000
1675,196000
1676,196000
1677,202500
1678,275000
1679,275000
1680,266000
1681,266000
1682,275000
1683,275000
1684,162000
1685,192000
1686,192000
1687,190000
1688,214000
1689,190000
1690,192000
1691,199900
1692,215000
1693,173000
1694,192000
1695,178000
1696,214000
1697,178000
1698,190000
